Hawking primary spectra for each particle types.
energy/particle         photon         gluons          higgs            W+-             Z0      neutrinos       electron           muon            tau             up           down          charm        strange            top         bottom       graviton
    1.00000e-07    5.20760e+01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.82086e+09    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.91148e-15
    1.01932e-07    5.50742e+01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.00234e+09    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.40804e-15
    1.03901e-07    5.82450e+01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.19065e+09    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.95482e-15
    1.05908e-07    6.15983e+01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.38605e+09    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.55687e-15
    1.07954e-07    6.51447e+01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.58880e+09    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    7.21979e-15
    1.10039e-07    6.88953e+01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.79919e+09    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    7.94974e-15
    1.12165e-07    7.28618e+01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.01750e+09    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    8.75348e-15
    1.14331e-07    7.70567e+01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.24403e+09    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    9.63849e-15
    1.16540e-07    8.14931e+01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.47908e+09    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.06130e-14
    1.18791e-07    8.61849e+01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.72299e+09    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.16860e-14
    1.21086e-07    9.11468e+01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.97607e+09    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.28675e-14
    1.23425e-07    9.63944e+01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    7.23868e+09    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.41684e-14
    1.25809e-07    1.01944e+02    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    7.51118e+09    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.56009e-14
    1.28239e-07    1.07813e+02    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    7.79394e+09    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.71782e-14
    1.30717e-07    1.14021e+02    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    8.08734e+09    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.89150e-14
    1.33242e-07    1.20585e+02    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    8.39178e+09    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.08274e-14
    1.35816e-07    1.27528e+02    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    8.70769e+09    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.29331e-14
    1.38439e-07    1.34870e+02    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    9.03549e+09    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.52517e-14
