energies,photon,gluon,higgs,W,Z,neutrino,electron,muon,tau,up,down,charm,strange,top,bottom,graviton
5e-07,2912550000000000.0,0.0,0.0,0.0,0.0,5.7374e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2214200000.0
5.07315e-07,3038970000000000.0,0.0,0.0,0.0,0.0,5.90061e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2382140000.0
5.14736e-07,3170880000000000.0,0.0,0.0,0.0,0.0,6.06847e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2562810000.0
5.22266e-07,3308510000000000.0,0.0,0.0,0.0,0.0,6.2411e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2757190000.0
5.29907e-07,3452120000000000.0,0.0,0.0,0.0,0.0,6.41864e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2966320000.0
5.37659e-07,3601960000000000.0,0.0,0.0,0.0,0.0,6.60123e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3191300000.0
5.45524e-07,3758310000000000.0,0.0,0.0,0.0,0.0,6.78902e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3433350000.0
5.53505e-07,3921440000000000.0,0.0,0.0,0.0,0.0,6.98215e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3693760000.0
5.61602e-07,4091650000000000.0,0.0,0.0,0.0,0.0,7.18077e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3973920000.0
5.69818e-07,4269250000000000.0,0.0,0.0,0.0,0.0,7.38504e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4275320000.0
5.78154e-07,4454560000000000.0,0.0,0.0,0.0,0.0,7.59512e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4599590000.0
5.86612e-07,4647920000000000.0,0.0,0.0,0.0,0.0,7.81118e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4948460000.0
5.95193e-07,4849660000000000.0,0.0,0.0,0.0,0.0,8.03339e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5323780000.0
6.03901e-07,5060170000000000.0,0.0,0.0,0.0,0.0,8.26192e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5727570000.0
6.12735e-07,5279810000000000.0,0.0,0.0,0.0,0.0,8.49695e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6161990000.0
6.21699e-07,5508980000000000.0,0.0,0.0,0.0,0.0,8.73866e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6629350000.0
6.30794e-07,5748100000000000.0,0.0,0.0,0.0,0.0,8.98725e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7132160000.0
6.40022e-07,5997600000000000.0,0.0,0.0,0.0,0.0,9.24291e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7673110000.0
6.49385e-07,6257930000000000.0,0.0,0.0,0.0,0.0,9.50585e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8255090000.0
6.58885e-07,6529560000000000.0,0.0,0.0,0.0,0.0,9.77626e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8881210000.0
6.68524e-07,6812980000000000.0,0.0,0.0,0.0,0.0,1.00544e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9554820000.0
6.78304e-07,7108700000000000.0,0.0,0.0,0.0,0.0,1.03404e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10279500000.0
6.88227e-07,7417260000000000.0,0.0,0.0,0.0,0.0,1.06345e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11059200000.0
6.98295e-07,7739210000000000.0,0.0,0.0,0.0,0.0,1.09371e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11898000000.0
7.0851e-07,8075130000000000.0,0.0,0.0,0.0,0.0,1.12482e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12800400000.0
7.18875e-07,8425640000000000.0,0.0,0.0,0.0,0.0,1.15682e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13771300000.0
7.29392e-07,8791360000000000.0,0.0,0.0,0.0,0.0,1.18973e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14815800000.0
7.40062e-07,9172960000000000.0,0.0,0.0,0.0,0.0,1.22357e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15939500000.0
7.50888e-07,9571110000000000.0,0.0,0.0,0.0,0.0,1.25838e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17148500000.0
7.61873e-07,9986560000000000.0,0.0,0.0,0.0,0.0,1.29417e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18449100000.0
7.73019e-07,1.042e+16,0.0,0.0,0.0,0.0,1.33099e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19848400000.0
7.84328e-07,1.08723e+16,0.0,0.0,0.0,0.0,1.36885e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21353800000.0
7.95802e-07,1.13442e+16,0.0,0.0,0.0,0.0,1.40779e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22973500000.0
8.07443e-07,1.18366e+16,0.0,0.0,0.0,0.0,1.44784e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24715900000.0
8.19256e-07,1.23504e+16,0.0,0.0,0.0,0.0,1.48903e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26590500000.0
8.31241e-07,1.28865e+16,0.0,0.0,0.0,0.0,1.53139e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28607300000.0
8.43401e-07,1.34458e+16,0.0,0.0,0.0,0.0,1.57495e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30777100000.0
8.55739e-07,1.40295e+16,0.0,0.0,0.0,0.0,1.61975e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33111400000.0
8.68258e-07,1.46384e+16,0.0,0.0,0.0,0.0,1.66583e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35622800000.0
8.8096e-07,1.52738e+16,0.0,0.0,0.0,0.0,1.71322e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38324700000.0
8.93848e-07,1.59368e+16,0.0,0.0,0.0,0.0,1.76195e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41231500000.0
9.06924e-07,1.66285e+16,0.0,0.0,0.0,0.0,1.81208e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44358700000.0
9.20191e-07,1.73503e+16,0.0,0.0,0.0,0.0,1.86363e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47723200000.0
9.33653e-07,1.81034e+16,0.0,0.0,0.0,0.0,1.91664e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51342800000.0
9.47312e-07,1.88892e+16,0.0,0.0,0.0,0.0,1.97116e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55237000000.0
9.6117e-07,1.97091e+16,0.0,0.0,0.0,0.0,2.02724e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59426500000.0
9.75231e-07,2.05646e+16,0.0,0.0,0.0,0.0,2.08491e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63933800000.0
9.89498e-07,2.14572e+16,0.0,0.0,0.0,0.0,2.14422e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68783000000.0
1.00397e-06,2.23886e+16,0.0,0.0,0.0,0.0,2.20521e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74000000000.0
1.01866e-06,2.33604e+16,0.0,0.0,0.0,0.0,2.26795e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79612600000.0
1.03356e-06,2.43743e+16,0.0,0.0,0.0,0.0,2.33246e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85650900000.0
1.04868e-06,2.54323e+16,0.0,0.0,0.0,0.0,2.39881e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92147300000.0
