Hawking secondary spectra for each particle type.
energy/particle         photon       electron           nu_e          nu_mu         nu_tau         proton
    1.00000e-06    7.30941e+25    0.00000e+00    4.34565e+22    1.42394e+17    1.37226e+11    0.00000e+00
    1.05200e-06    6.94553e+25    0.00000e+00    5.43962e+22    1.67571e+17    1.51330e+11    0.00000e+00
    1.10700e-06    6.63505e+25    0.00000e+00    5.69529e+22    2.01698e+17    1.66994e+11    0.00000e+00
    1.16400e-06    6.30626e+25    0.00000e+00    6.01571e+22    2.39671e+17    1.83998e+11    0.00000e+00
    1.22500e-06    5.99677e+25    0.00000e+00    7.21711e+22    2.80728e+17    2.03065e+11    0.00000e+00
    1.28900e-06    5.72685e+25    0.00000e+00    7.46480e+22    3.31590e+17    2.24068e+11    0.00000e+00
    1.35600e-06    5.44505e+25    0.00000e+00    8.11690e+22    3.94083e+17    2.47103e+11    0.00000e+00
    1.42700e-06    5.18636e+25    0.00000e+00    9.48588e+22    4.59348e+17    2.72688e+11    0.00000e+00
    1.50100e-06    4.94046e+25    0.00000e+00    9.96626e+22    5.45373e+17    3.00677e+11    0.00000e+00
    1.57900e-06    4.70067e+25    0.00000e+00    1.12011e+23    6.42867e+17    3.31576e+11    0.00000e+00
    1.66100e-06    4.48194e+25    0.00000e+00    1.27423e+23    7.49048e+17    3.65630e+11    0.00000e+00
    1.74800e-06    4.26801e+25    0.00000e+00    1.35674e+23    8.89398e+17    4.03537e+11    0.00000e+00
    1.83900e-06    4.06387e+25    0.00000e+00    1.57106e+23    1.04204e+18    4.45080e+11    0.00000e+00
    1.93500e-06    3.87939e+25    0.00000e+00    1.74273e+23    1.21364e+18    4.91040e+11    0.00000e+00
    2.03500e-06    3.69576e+25    0.00000e+00    1.88343e+23    1.38566e+18    5.41253e+11    0.00000e+00
    2.14100e-06    3.52021e+25    0.00000e+00    2.17793e+23    1.66367e+18    5.96998e+11    0.00000e+00
    2.25300e-06    3.36387e+25    0.00000e+00    2.36845e+23    1.98316e+18    6.58793e+11    0.00000e+00
    2.37000e-06    3.20521e+25    0.00000e+00    2.60306e+23    2.25483e+18    7.26486e+11    0.00000e+00
    2.49300e-06    3.05082e+25    0.00000e+00    2.94761e+23    2.63578e+18    8.01022e+11    0.00000e+00
    2.62300e-06    2.91401e+25    0.00000e+00    3.16980e+23    3.15692e+18    8.83684e+11    0.00000e+00
    2.76000e-06    2.77872e+25    0.00000e+00    3.50340e+23    3.59255e+18    9.75011e+11    0.00000e+00
    2.90400e-06    2.63990e+25    0.00000e+00    3.92116e+23    4.20204e+18    1.07558e+12    0.00000e+00
    3.05500e-06    2.52003e+25    0.00000e+00    4.15751e+23    4.96541e+18    1.18627e+12    0.00000e+00
    3.21400e-06    2.40698e+25    0.00000e+00    4.61245e+23    5.76626e+18    1.30841e+12    0.00000e+00
    3.38100e-06    2.28543e+25    0.00000e+00    5.09970e+23    6.67647e+18    1.44279e+12    0.00000e+00
    3.55700e-06    2.18047e+25    0.00000e+00    5.37448e+23    7.85881e+18    1.59147e+12    0.00000e+00
    3.74200e-06    2.08492e+25    0.00000e+00    5.98655e+23    9.11922e+18    1.75520e+12    0.00000e+00
    3.93700e-06    1.97954e+25    0.00000e+00    6.56340e+23    1.05437e+19    1.93602e+12    0.00000e+00
    4.14200e-06    1.88714e+25    0.00000e+00    6.92449e+23    1.23655e+19    2.13558e+12    0.00000e+00
    4.35800e-06    1.80625e+25    0.00000e+00    7.68814e+23    1.44513e+19    2.35587e+12    0.00000e+00
    4.58500e-06    1.71479e+25    0.00000e+00    8.36234e+23    1.66673e+19    2.59850e+12    0.00000e+00
    4.82400e-06    1.63246e+25    0.00000e+00    8.85561e+23    1.94257e+19    2.86662e+12    0.00000e+00
    5.07500e-06    1.56358e+25    0.00000e+00    9.74346e+23    2.27684e+19    3.16161e+12    0.00000e+00
    5.33900e-06    1.48244e+25    0.00000e+00    1.05424e+24    2.61936e+19    3.48684e+12    0.00000e+00
    5.61700e-06    1.41244e+25    0.00000e+00    1.11796e+24    3.06181e+19    3.84620e+12    0.00000e+00
    5.90900e-06    1.35127e+25    0.00000e+00    1.21810e+24    3.56402e+19    4.24158e+12    0.00000e+00
    6.21700e-06    1.28291e+25    0.00000e+00    1.31038e+24    4.10309e+19    4.67889e+12    0.00000e+00
    6.54100e-06    1.22284e+25    0.00000e+00    1.39371e+24    4.65628e+19    5.16148e+12    0.00000e+00
    6.88100e-06    1.16720e+25    0.00000e+00    1.50601e+24    5.53247e+19    5.69196e+12    0.00000e+00
    7.24000e-06    1.11084e+25    0.00000e+00    1.60937e+24    6.52046e+19    6.27948e+12    0.00000e+00
    7.61700e-06    1.05789e+25    0.00000e+00    1.71445e+24    7.36957e+19    6.92654e+12    0.00000e+00
    8.01300e-06    1.00868e+25    0.00000e+00    1.83889e+24    9.42130e+19    7.63849e+12    0.00000e+00
    8.43000e-06    9.60266e+24    0.00000e+00    1.95079e+24    1.19813e+20    8.42504e+12    0.00000e+00
    8.86900e-06    9.15764e+24    0.00000e+00    2.08129e+24    1.36019e+20    9.29315e+12    0.00000e+00
    9.33100e-06    8.71918e+24    0.00000e+00    2.21599e+24    1.62183e+20    1.02502e+13    0.00000e+00
