energies,photon,gluon,higgs,W,Z,neutrino,electron,muon,tau,up,down,charm,strange,top,bottom,graviton
0.0100132,5.74314e-15,0.0,0.0,0.0,0.0,1.68535e-14,1.12357e-14,0.0,0.0,3.3707e-14,3.3707e-14,0.0,0.0,0.0,0.0,6.11318e-15
0.0101597,1.61238e-15,0.0,0.0,0.0,0.0,4.71558e-15,3.14372e-15,0.0,0.0,9.43116e-15,9.43116e-15,0.0,0.0,0.0,0.0,1.71925e-15
0.0103083,4.33405e-16,0.0,0.0,0.0,0.0,1.26222e-15,8.41477e-16,0.0,0.0,2.52443e-15,2.52443e-15,0.0,0.0,0.0,0.0,4.61353e-16
0.0104591,1.11068e-16,0.0,0.0,0.0,0.0,3.22223e-16,2.14815e-16,0.0,0.0,6.44446e-16,6.44446e-16,0.0,0.0,0.0,0.0,1.17765e-16
0.0106122,2.73048e-17,0.0,0.0,0.0,0.0,7.90359e-17,5.26906e-17,0.0,0.0,1.58072e-16,1.58072e-16,0.0,0.0,0.0,0.0,2.88373e-17
0.0107674,6.53765e-18,0.0,0.0,0.0,0.0,1.89256e-17,1.2617e-17,0.0,0.0,3.78511e-17,3.78511e-17,0.0,0.0,0.0,0.0,6.89498e-18
0.0109249,1.55353e-18,0.0,0.0,0.0,0.0,4.50778e-18,3.00519e-18,0.0,0.0,9.01557e-18,9.01557e-18,0.0,0.0,0.0,0.0,1.64317e-18
0.0110847,3.7192e-19,0.0,0.0,0.0,0.0,1.08294e-18,7.21963e-19,0.0,0.0,2.16589e-18,2.16589e-18,0.0,0.0,0.0,0.0,3.96218e-19
0.0112469,9.00903e-20,0.0,0.0,0.0,0.0,2.63069e-19,1.7538e-19,0.0,0.0,5.26139e-19,5.26139e-19,0.0,0.0,0.0,0.0,9.68969e-20
0.0114114,2.18717e-20,0.0,0.0,0.0,0.0,6.38951e-20,4.25967e-20,0.0,0.0,1.2779e-19,1.2779e-19,0.0,0.0,0.0,0.0,2.37283e-20
0.0115784,5.21356e-21,0.0,0.0,0.0,0.0,1.51871e-20,1.01247e-20,0.0,0.0,3.03741e-20,3.03741e-20,0.0,0.0,0.0,0.0,5.68181e-21
0.0117478,1.19197e-21,0.0,0.0,0.0,0.0,3.4527e-21,2.3018e-21,0.0,0.0,6.90539e-21,6.90539e-21,0.0,0.0,0.0,0.0,1.2976e-21
0.0119196,2.57336e-22,0.0,0.0,0.0,0.0,7.40631e-22,4.93754e-22,0.0,0.0,1.48126e-21,1.48126e-21,0.0,0.0,0.0,0.0,2.78592e-22
0.012094,5.24835e-23,0.0,0.0,0.0,0.0,1.50363e-22,1.00242e-22,0.0,0.0,3.00726e-22,3.00726e-22,0.0,0.0,0.0,0.0,5.64612e-23
0.0122709,1.02923e-23,0.0,0.0,0.0,0.0,2.94679e-23,1.96453e-23,0.0,0.0,5.89359e-23,5.89359e-23,0.0,0.0,0.0,0.0,1.10443e-23
0.0124504,1.99467e-24,0.0,0.0,0.0,0.0,5.73105e-24,3.8207e-24,0.0,0.0,1.14621e-23,1.14621e-23,0.0,0.0,0.0,0.0,2.14955e-24
0.0126326,3.9109e-25,0.0,0.0,0.0,0.0,1.13005e-24,7.53364e-25,0.0,0.0,2.26009e-24,2.26009e-24,0.0,0.0,0.0,0.0,4.25952e-25
0.0128174,7.80545e-26,0.0,0.0,0.0,0.0,2.26506e-25,1.51004e-25,0.0,0.0,4.53013e-25,4.53013e-25,0.0,0.0,0.0,0.0,8.6107e-26
0.0130049,1.55983e-26,0.0,0.0,0.0,0.0,4.52519e-26,3.0168e-26,0.0,0.0,9.05039e-26,9.05039e-26,0.0,0.0,0.0,0.0,1.73637e-26
0.0131951,3.02256e-27,0.0,0.0,0.0,0.0,8.71822e-27,5.81214e-27,0.0,0.0,1.74364e-26,1.74364e-26,0.0,0.0,0.0,0.0,3.36789e-27
0.0133882,5.5086e-28,0.0,0.0,0.0,0.0,1.5747e-27,1.0498e-27,0.0,0.0,3.14939e-27,3.14939e-27,0.0,0.0,0.0,0.0,6.09594e-28
0.013584,9.34366e-29,0.0,0.0,0.0,0.0,2.65083e-28,1.76722e-28,0.0,0.0,5.30167e-28,5.30167e-28,0.0,0.0,0.0,0.0,1.02436e-28
