# Secondary + primary spectra from arXiv:0912.5297 fig. 1.
# Columns: E [GeV], d^2N/dEdt [GeV^-1 s^-1]
0.01184867369946715,10555393082921847000
0.011917820225496078,11281939963730946000
0.013388707021197828,19056585977860590000
0.021263870844710514,35568903140342190000
0.023749640688241813,47199272971643460000
0.02988664153892752,64752245257222750000
0.03607787660707384,91366550092745560000
0.04515821228514773,127989513619610100000
0.05299104430739797,197417866459819080000
0.06046182394776582,231789963154283530000
0.06651459444857584,276549970228325450000
0.07589195027329151,327315971243137300000
0.08514561694198206,426565454840805800000
0.09031397071502678,469689211579675640000
0.0976963766437962,592771663620346900000
0.10391776418633226,652698084603496900000
0.11464211627142601,772513218186733400000
0.12160091268939083,843811449652656900000
0.13043803969516504,1.0148685920080113e+21
0.14716625581754617,1.260421622675567e+21
0.15741893588753242,1.3657459808026855e+21
0.16980942655957135,1.4216640263539767e+21
0.18215002036019293,1.3657459808026855e+21
0.19320655831011785,1.2304376712519124e+21
0.20435995917502944,1.0395994428874388e+21
0.21494747902910483,857464662782973200000
0.2325176238361083,547057968786649060000
0.2536503627592484,311928276292411200000
0.2713215062191373,194274427058178000000
0.2934997526217343,108138616171431770000
0.30611752742039655,79714124424537010000
0.32469891463280487,58761077751328465000
0.3405639610847068,44371126118443470000
0.3552050615528406,31929983762912730000
0.37465746608834966,23726767729721434000
0.3788865425873609,19569907457615220000
0.387488445952404,14425910865920162000
0.39517515961652966,10464702822720969000
