energies,photon,gluon,higgs,W,Z,neutrino,electron,muon,tau,up,down,charm,strange,top,bottom,graviton
5e-07,4867020.0,0.0,0.0,0.0,0.0,9215420000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75229e-06
5.07315e-07,5078280.0,0.0,0.0,0.0,0.0,9477570000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8852e-06
5.14736e-07,5298700.0,0.0,0.0,0.0,0.0,9747180000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02818e-06
5.22266e-07,5528700.0,0.0,0.0,0.0,0.0,10024500000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18201e-06
5.29907e-07,5768670.0,0.0,0.0,0.0,0.0,10309600000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34751e-06
5.37659e-07,6019070.0,0.0,0.0,0.0,0.0,10602900000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.52556e-06
5.45524e-07,6280330.0,0.0,0.0,0.0,0.0,10904500000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.71712e-06
5.53505e-07,6552930.0,0.0,0.0,0.0,0.0,11214700000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9232e-06
5.61602e-07,6837370.0,0.0,0.0,0.0,0.0,11533800000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.14491e-06
5.69818e-07,7134150.0,0.0,0.0,0.0,0.0,11861900000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.38345e-06
5.78154e-07,7443810.0,0.0,0.0,0.0,0.0,12199300000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.64007e-06
5.86612e-07,7766910.0,0.0,0.0,0.0,0.0,12546300000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.91615e-06
5.95193e-07,8104040.0,0.0,0.0,0.0,0.0,12903200000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.21318e-06
6.03901e-07,8455800.0,0.0,0.0,0.0,0.0,13270300000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.53274e-06
6.12735e-07,8822830.0,0.0,0.0,0.0,0.0,13647800000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.87653e-06
6.21699e-07,9205790.0,0.0,0.0,0.0,0.0,14036000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2464e-06
6.30794e-07,9605370.0,0.0,0.0,0.0,0.0,14435300000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.64432e-06
6.40022e-07,10022300.0,0.0,0.0,0.0,0.0,14846000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.07242e-06
6.49385e-07,10457300.0,0.0,0.0,0.0,0.0,15268300000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.53299e-06
6.58885e-07,10911200.0,0.0,0.0,0.0,0.0,15702600000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.02849e-06
6.68524e-07,11384800.0,0.0,0.0,0.0,0.0,16149300000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.56158e-06
6.78304e-07,11879000.0,0.0,0.0,0.0,0.0,16608700000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1351e-06
6.88227e-07,12394600.0,0.0,0.0,0.0,0.0,17081200000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75212e-06
6.98295e-07,12932600.0,0.0,0.0,0.0,0.0,17567100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.41594e-06
7.0851e-07,13494000.0,0.0,0.0,0.0,0.0,18066900000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01301e-05
7.18875e-07,14079700.0,0.0,0.0,0.0,0.0,18580800000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08984e-05
7.29392e-07,14690800.0,0.0,0.0,0.0,0.0,19109400000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1725e-05
7.40062e-07,15328500.0,0.0,0.0,0.0,0.0,19653000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26143e-05
7.50888e-07,15993800.0,0.0,0.0,0.0,0.0,20212100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35711e-05
7.61873e-07,16688100.0,0.0,0.0,0.0,0.0,20787000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46004e-05
7.73019e-07,17412400.0,0.0,0.0,0.0,0.0,21378400000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57078e-05
7.84328e-07,18168200.0,0.0,0.0,0.0,0.0,21986500000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68992e-05
7.95802e-07,18956800.0,0.0,0.0,0.0,0.0,22612000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81809e-05
