Hawking secondary spectra for each particle type.
energy/particle         photon       electron           nu_e          nu_mu         nu_tau         proton
    1.63100e-05    6.05956e+26    0.00000e+00    1.63705e+24    1.18000e+19    3.52992e+11    0.00000e+00
    1.71600e-05    5.77338e+26    0.00000e+00    1.97114e+24    1.36522e+19    3.89368e+11    0.00000e+00
    1.80500e-05    5.51454e+26    0.00000e+00    1.97455e+24    1.66491e+19    4.29337e+11    0.00000e+00
    1.89900e-05    5.26890e+26    0.00000e+00    2.21915e+24    1.92237e+19    4.73555e+11    0.00000e+00
    1.99800e-05    5.01906e+26    0.00000e+00    2.43963e+24    2.21783e+19    5.22383e+11    0.00000e+00
    2.10200e-05    4.79550e+26    0.00000e+00    2.63577e+24    2.62561e+19    5.76198e+11    0.00000e+00
    2.21200e-05    4.51562e+26    0.00000e+00    3.24728e+24    3.07768e+19    6.35833e+11    0.00000e+00
    2.32700e-05    4.31313e+26    0.00000e+00    3.41075e+24    3.59035e+19    7.01218e+11    0.00000e+00
    2.44800e-05    4.12392e+26    0.00000e+00    3.83738e+24    4.10679e+19    7.73373e+11    0.00000e+00
    2.57500e-05    3.90560e+26    0.00000e+00    4.20339e+24    4.86163e+19    8.52696e+11    0.00000e+00
    2.70900e-05    3.73250e+26    0.00000e+00    4.51908e+24    5.84690e+19    9.40491e+11    0.00000e+00
    2.85000e-05    3.53580e+26    0.00000e+00    4.72734e+24    6.57064e+19    1.03735e+12    0.00000e+00
    2.99900e-05    3.37582e+26    0.00000e+00    5.37269e+24    7.74359e+19    1.14458e+12    0.00000e+00
    3.15500e-05    3.22717e+26    0.00000e+00    5.91657e+24    9.26504e+19    1.26240e+12    0.00000e+00
    3.31900e-05    3.08597e+26    0.00000e+00    6.50096e+24    1.04577e+20    1.39223e+12    0.00000e+00
    3.49200e-05    2.92781e+26    0.00000e+00    6.79408e+24    1.22498e+20    1.53569e+12    0.00000e+00
    3.67400e-05    2.79245e+26    0.00000e+00    7.54705e+24    1.46404e+20    1.69411e+12    0.00000e+00
    3.86500e-05    2.63451e+26    0.00000e+00    8.20390e+24    1.66193e+20    1.86834e+12    0.00000e+00
    4.06600e-05    2.51473e+26    0.00000e+00    8.89775e+24    1.93943e+20    2.06039e+12    0.00000e+00
    4.27800e-05    2.41585e+26    0.00000e+00    9.55537e+24    2.31995e+20    2.27307e+12    0.00000e+00
    4.50100e-05    2.30469e+26    0.00000e+00    1.05274e+25    2.63217e+20    2.50747e+12    0.00000e+00
    4.73500e-05    2.19161e+26    0.00000e+00    1.13599e+25    3.05226e+20    2.76516e+12    0.00000e+00
    4.98200e-05    2.07155e+26    0.00000e+00    1.22732e+25    3.64770e+20    3.05072e+12    0.00000e+00
    5.24100e-05    1.98564e+26    0.00000e+00    1.33549e+25    4.18035e+20    3.36440e+12    0.00000e+00
    5.51400e-05    1.87709e+26    0.00000e+00    1.40465e+25    4.80380e+20    3.71092e+12    0.00000e+00
    5.80100e-05    1.80240e+26    0.00000e+00    1.53648e+25    5.74218e+20    4.09324e+12    0.00000e+00
    6.10300e-05    1.72660e+26    0.00000e+00    1.64556e+25    6.56871e+20    4.51468e+12    0.00000e+00
    6.42100e-05    1.62877e+26    0.00000e+00    1.76750e+25    7.54786e+20    4.97991e+12    0.00000e+00
    6.75600e-05    1.55473e+26    0.00000e+00    1.93183e+25    8.82406e+20    5.49416e+12    0.00000e+00
    7.10700e-05    1.48722e+26    0.00000e+00    2.04628e+25    1.02773e+21    6.05860e+12    0.00000e+00
    7.47700e-05    1.40388e+26    0.00000e+00    2.19716e+25    1.19095e+21    6.68250e+12    0.00000e+00
    7.86700e-05    1.34426e+26    0.00000e+00    2.32080e+25    1.35598e+21    7.37233e+12    0.00000e+00
    8.27600e-05    1.28915e+26    0.00000e+00    2.52878e+25    1.59021e+21    8.13017e+12    0.00000e+00
    8.70700e-05    1.21733e+26    0.00000e+00    2.67350e+25    1.88997e+21    8.96784e+12    0.00000e+00
    9.16100e-05    1.16431e+26    0.00000e+00    2.85062e+25    2.11380e+21    9.89316e+12    0.00000e+00
