energies,photon,gluon,higgs,W,Z,neutrino,electron,muon,tau,up,down,charm,strange,top,bottom,graviton
5e-07,4101410000.0,0.0,0.0,0.0,0.0,786892000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.189442
5.07315e-07,4279440000.0,0.0,0.0,0.0,0.0,809277000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203811
5.14736e-07,4465190000.0,0.0,0.0,0.0,0.0,832298000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.219269
5.22266e-07,4659000000.0,0.0,0.0,0.0,0.0,855975000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2359
5.29907e-07,4861230000.0,0.0,0.0,0.0,0.0,880325000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.253792
5.37659e-07,5072230000.0,0.0,0.0,0.0,0.0,905368000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273041
5.45524e-07,5292400000.0,0.0,0.0,0.0,0.0,931123000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29375
5.53505e-07,5522120000.0,0.0,0.0,0.0,0.0,957611000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31603
5.61602e-07,5761810000.0,0.0,0.0,0.0,0.0,984852000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34
5.69818e-07,6011900000.0,0.0,0.0,0.0,0.0,1012870000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.365788
5.78154e-07,6272850000.0,0.0,0.0,0.0,0.0,1041680000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.393531
5.86612e-07,6545130000.0,0.0,0.0,0.0,0.0,1071310000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.423379
5.95193e-07,6829230000.0,0.0,0.0,0.0,0.0,1101790000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.455491
6.03901e-07,7125650000.0,0.0,0.0,0.0,0.0,1133130000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.490039
6.12735e-07,7434950000.0,0.0,0.0,0.0,0.0,1165370000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.527206
6.21699e-07,7757670000.0,0.0,0.0,0.0,0.0,1198520000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.567193
6.30794e-07,8094390000.0,0.0,0.0,0.0,0.0,1232610000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.610213
6.40022e-07,8445740000.0,0.0,0.0,0.0,0.0,1267680000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.656495
6.49385e-07,8812330000.0,0.0,0.0,0.0,0.0,1303740000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.706288
